pollen_concentration,timestamp
6.2,2026-04-01 11:28:33
6.2,2026-04-02 11:14:09
6.5,2026-04-03 11:08:25
6.7,2026-04-04 10:57:49
6.9,2026-04-05 11:00:29
6.5,2026-04-06 11:25:29
6.5,2026-04-07 11:28:08
6.5,2026-04-08 11:28:59
6.5,2026-04-09 11:30:23
6.3,2026-04-10 11:24:23
6.6,2026-04-11 11:01:12
6.1,2026-04-12 11:04:46
6.0,2026-04-13 11:48:48
6.1,2026-04-14 11:35:31
6.1,2026-04-15 11:32:55
6.0,2026-04-16 11:35:44
6.6,2026-04-17 11:28:20
6.3,2026-04-18 11:05:47
6.0,2026-04-19 11:05:26
5.0,2026-04-20 11:49:36
5.0,2026-04-21 11:37:06
4.0,2026-04-22 11:35:59
4.4,2026-04-23 11:37:41
2.3,2026-04-24 11:38:37
2.4,2026-04-25 11:10:09
2.1,2026-04-26 11:09:03
1.3,2026-04-27 12:06:01
