pollen_concentration,timestamp
6.1,2026-05-01 11:37:18
6.2,2026-05-02 11:12:33
6.3,2026-05-03 11:11:05
3.3,2026-05-04 12:08:55
3.0,2026-05-05 11:46:06
2.3,2026-05-06 12:14:24
2.3,2026-05-07 12:15:45
2.5,2026-05-08 11:51:11
2.8,2026-05-09 11:25:05
2.8,2026-05-10 11:26:59
3.6,2026-05-11 13:22:27
4.1,2026-05-12 12:23:14
4.1,2026-05-13 12:27:00
3.3,2026-05-14 12:10:21
3.3,2026-05-15 12:16:05
4.6,2026-05-16 11:30:37
5.1,2026-05-17 11:37:38
5.1,2026-05-18 14:04:53
2.3,2026-05-19 13:39:04
5.4,2026-05-20 12:41:14
5.9,2026-05-21 13:42:22
6.7,2026-05-22 12:37:59
6.7,2026-05-23 11:40:43
6.3,2026-05-24 11:48:14
6.5,2026-05-25 13:45:04
7.2,2026-05-26 13:26:07
6.9,2026-05-27 13:56:42
7.0,2026-05-28 14:08:10
6.8,2026-05-29 13:41:03
6.8,2026-05-30 11:51:04
6.7,2026-05-31 11:55:25
