pollen_concentration,timestamp
1.9,2026-06-01 16:20:29
6.4,2026-06-02 14:35:13
1.5,2026-06-03 15:12:43
6.1,2026-06-04 13:37:40
1.9,2026-06-05 13:30:52
6.3,2026-06-06 11:51:45
6.6,2026-06-07 12:07:10
6.1,2026-06-08 14:32:35
6.2,2026-06-09 13:22:21
5.9,2026-06-10 13:53:39
3.6,2026-06-11 14:13:52
6.7,2026-06-12 13:45:30
6.8,2026-06-13 12:07:56
7.0,2026-06-14 12:21:19
2.3,2026-06-15 16:06:47
4.6,2026-06-16 15:26:23
6.7,2026-06-17 14:06:33
6.5,2026-06-18 13:45:49
6.3,2026-06-19 13:53:35
6.5,2026-06-20 12:13:56
6.7,2026-06-21 12:24:13
6.8,2026-06-22 15:34:29
7.0,2026-06-23 13:20:16
