pollen_concentration,timestamp
4.1,2026-06-01 16:20:17
2.5,2026-06-02 14:35:01
3.3,2026-06-03 15:12:31
4.6,2026-06-04 13:37:29
2.3,2026-06-05 13:30:40
1.9,2026-06-06 11:51:34
2.8,2026-06-07 12:06:56
4.6,2026-06-08 14:32:24
6.2,2026-06-09 13:22:09
6.3,2026-06-10 13:53:28
4.6,2026-06-11 14:13:40
3.3,2026-06-12 13:45:17
2.5,2026-06-13 12:07:43
2.5,2026-06-14 12:21:07
3.3,2026-06-15 16:06:35
3.3,2026-06-16 15:26:12
2.3,2026-06-17 14:06:22
7.9,2026-06-18 13:45:37
3.8,2026-06-19 13:53:24
6.2,2026-06-20 12:13:44
6.2,2026-06-21 12:24:01
6.3,2026-06-22 15:34:17
4.1,2026-06-23 13:20:03
2.8,2026-06-24 12:32:28
