pollen_concentration,timestamp
0.2,2026-06-01 16:20:29
0.6,2026-06-02 14:35:13
0.2,2026-06-03 15:12:43
1.3,2026-06-04 13:37:40
1.3,2026-06-05 13:30:52
1.3,2026-06-06 11:51:45
2.1,2026-06-07 12:07:10
0.8,2026-06-08 14:32:35
0.8,2026-06-09 13:22:21
0.8,2026-06-10 13:53:39
0.8,2026-06-11 14:13:52
1.1,2026-06-12 13:45:30
1.5,2026-06-13 12:07:56
1.5,2026-06-14 12:21:19
0.2,2026-06-15 16:06:47
1.3,2026-06-16 15:26:23
2.3,2026-06-17 14:06:33
2.5,2026-06-18 13:45:49
2.8,2026-06-19 13:53:35
2.6,2026-06-20 12:13:56
2.4,2026-06-21 12:24:13
2.7,2026-06-22 15:34:29
2.2,2026-06-23 13:20:16
2.7,2026-06-24 12:32:39
3.0,2026-06-25 12:36:55
